Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO2 (µg/m³),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),AQI
17-08-2023,12.40333333,32.05833333,14.24802083,4.103229167,12.67822917,0.526145833,50.99202899,47
18-08-2023,11.75416667,29.14416667,12.644375,3.691666667,23.076875,0.6453125,32.85083333,29
19-08-2023,9.519583333,28.66541667,15.5853125,3.9478125,27.0009375,0.7034375,5.360104167,29
20-08-2023,14.4575,32.83652174,14.14989583,4.266458333,11.08645833,0.595625,7.657395833,26
21-08-2023,17.91764706,35.93222222,12.959375,4.115625,11.22104167,0.611875,9.587604167,39
22-08-2023,18.99208333,34.98,17.20270833,4.738125,11.48927083,0.7659375,10.94447917,39
23-08-2023,13.7885,28.88816667,13.80852273,4.213181818,12.51886364,0.561086957,17.84132576,24
24-08-2023,15.06125,28.21916667,10.5496875,3.702395833,18.59802083,0.370729167,47.94315789,27
25-08-2023,15.31578947,34.65526316,13.04822917,3.8540625,23.05010417,0.438854167,41.29762821,29
26-08-2023,25.58,57.04285714,8.9146875,3.803229167,10.00854167,0.355729167,80.2403125,47
27-08-2023,201.5633333,,8.846770833,3.832916667,9.483645833,0.32125,88.5315625,65
28-08-2023,299.084375,83.95125,6.110686275,3.704375,14.63760417,0.338541667,32.79054348,181
29-08-2023,28.27026316,69.25394737,8.815833333,3.900039683,10.41761905,0.360277778,1.863650794,64
30-08-2023,18.86083333,46.20875,13.44986111,3.946736111,12.26017361,0.482708333,9.741493056,47
31-08-2023,20.79166667,50.94,12.98958333,3.738541667,13.05208333,0.414583333,20.47791667,44
01-09-2023,25.1434375,61.58822917,13.426875,3.773125,13.32052083,0.456041667,27.68864583,58
02-09-2023,26.79583333,65.65041667,13.97541667,3.832604167,13.67166667,0.411770833,35.03444444,64
03-09-2023,22.69,55.59125,16.64645833,4.0365625,13.24020833,0.468645833,39.42597222,54
04-09-2023,13.33,32.65833333,17.70447917,4.164166667,13.7025,0.572291667,43.30871528,40
05-09-2023,9.919166667,24.30166667,13.08229167,3.813333333,16.0784375,0.569270833,15.52229167,26
06-09-2023,8.152083333,19.97270833,12.59958333,3.64,18.17291667,0.568958333,3.8853125,24
07-09-2023,7.910441176,19.38367647,14.09289474,3.792631579,18.50302632,0.663026316,6.434473684,24
08-09-2023,7.816875,19.14833333,10.66083333,3.597083333,18.25197917,0.505833333,7.36875,23
09-09-2023,8.888333333,21.77625,12.43614583,3.729583333,18.06135417,0.575,7.6396875,23
10-09-2023,12.15635417,29.78135417,13.6740625,3.830729167,18.121875,0.589791667,7.495625,24
11-09-2023,15.76166667,38.61625,18.09791667,4.1134375,19.89708333,0.801458333,7.301979167,34
12-09-2023,15.435625,37.81125,16.8121875,3.943229167,20.7240625,0.806875,6.19375,35
13-09-2023,15.07666667,36.93875,14.85010417,3.756145833,21.30854167,0.721979167,5.820416667,43
14-09-2023,11.45416667,28.0625,18.081875,4.049479167,23.15385417,0.724895833,5.275416667,29
15-09-2023,10.7725,26.3925,12.4825,3.5753125,21.31239583,0.561145833,5.331666667,27
16-09-2023,12.49,30.60041667,15.3284375,3.950729167,20.91864583,0.675104167,5.243645833,28
17-09-2023,12.69916667,31.11291667,12.27885417,3.639791667,19.4740625,0.642604167,5.665104167,30
18-09-2023,10.95416667,26.83791667,11.8615625,3.762604167,12.67229167,0.481770833,6.580520833,27
19-09-2023,12.26083333,30.03833333,15.84333333,4.139375,14.00895833,0.740416667,5.3328125,28
20-09-2023,10.7525,26.34375,14.34125,3.946875,16.76072917,0.621875,5.3659375,27
21-09-2023,10.32034091,25.28818182,10.81543478,3.534673913,20.80347826,0.613854167,5.043043478,26
22-09-2023,8.5825,21.02708333,9.8728125,3.467395833,20.6084375,0.624375,5.426875,25
23-09-2023,6.48,15.87541667,10.865625,3.253854167,28.5009375,0.475104167,4.827916667,26
24-09-2023,7.3375,17.97666667,11.85635417,3.311666667,28.7565625,0.504791667,4.816354167,26
